Model,Test_Method,Accuracy,Recall,Precision,F1-Score,FPR
Random Tree (RT),80% Split,0.7246189615086541,0.7246189615086541,0.7242258196666267,0.7242482267811059,0.017819271815966098
Random Tree (RT),10-Fold CV,0.7306500416040815,0.7306500416040815,0.7312173353063216,0.7306769366978274,-
Random Forest (RF),80% Split,0.7557048135709981,0.7557048135709981,0.754860484015719,0.7544916465750954,0.01581238488980248
Random Forest (RF),10-Fold CV,0.7568461863854551,0.7568461863854551,0.7560920629119422,0.7556088969340619,-
J-48 (Decision Tree),80% Split,0.7319383449582365,0.7319383449582365,0.732279354662696,0.7319148987799833,0.017350157436058604
J-48 (Decision Tree),10-Fold CV,0.7365746769684941,0.7365746769684941,0.7370466828274337,0.7366263759971626,-
Naive Bayes (NB),80% Split,0.5666063893911996,0.5666063893911996,0.6079315823477863,0.5416071421325466,0.02806146052429137
Naive Bayes (NB),10-Fold CV,0.568306288258063,0.568306288258063,0.6202140307011687,0.5431981690596425,-
XGBoost,80% Split,0.7637991905623008,0.7637991905623008,0.7640043156358494,0.7613570377800231,0.015291177909885986
XGBoost,10-Fold CV,0.7660260601062266,0.7660260601062266,0.7667536927635812,0.7636027491125444,-
