Model,Test_Method,Accuracy,Recall,Precision,F1-Score,FPR
Random Tree (RT),80% Split,0.999827779212951,0.999827779212951,0.999827779212951,0.999827779212951,0.0001722291659659151
Random Tree (RT),10-Fold CV,0.9998449909095066,0.9998449909095066,0.9998450206812934,0.9998449909667453,-
Random Forest (RF),80% Split,1.0,1.0,1.0,1.0,0.0
Random Forest (RF),10-Fold CV,0.9998966615950046,0.9998966615950046,0.9998967330586522,0.9998966617437042,-
J-48 (Decision Tree),80% Split,0.999827779212951,0.999827779212951,0.9998278381019191,0.9998277790009553,0.0001734304543877905
J-48 (Decision Tree),10-Fold CV,0.9997588849643437,0.9997588849643437,0.9997589909342235,0.999758884575575,-
Naive Bayes (NB),80% Split,0.9916472918281236,0.9916472918281236,0.9916799756535463,0.9916473908016294,0.00832488427143281
Naive Bayes (NB),10-Fold CV,0.9925596852623197,0.9925596852623197,0.9925858487386032,0.9925597644996665,-
XGBoost,80% Split,1.0,1.0,1.0,1.0,0.0
XGBoost,10-Fold CV,0.9999483293145023,0.9999483293145023,0.9999483472308288,0.9999483293742848,-
